name,opening_hours,type,state_district,country,county,state,city_district,postcode,country_code,village,road
depot BAMARA,,restaurant,Surabaya,Indonesia,Dupak,Jawa Timur,RW 03,60175,id,Dupak,Jalan Raya Demak
Peco peco,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,RW 02,60223,id,Babatan,Jalan Royal Residence
"D'cost",,restaurant,Surabaya,Indonesia,Embong Kaliasin,Jawa Timur,RW 05,60271,id,Embong Kaliasin,Jalan Kayon
Bebek Kayu Tangan,,restaurant,Surabaya,Indonesia,Ngagelrejo,Jawa Timur,RW 04,60245,id,Ngagelrejo,Jalan Bratang Gede
Amin Resto,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Kedungdoro,Jawa Timur,RW 01,60262,id,Kedungdoro,Jalan Tegalsari
Soto Ambengan Pak Sadi Asli,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 09,60272,id,Ketabang,Jalan Ambengan
A Cafe,,restaurant,Surabaya,Indonesia,Embong Kaliasin,Jawa Timur,RW 02,60261,id,Embong Kaliasin,Jalan Jenderal Basuki Rachmat
3M Makassar,,restaurant,Surabaya,Indonesia,Semolowaru,Jawa Timur,RW 01,60119,id,Semolowaru,Jalan Dr. Ir. H. Soekarno
Dream of kahyangan,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan Niagara Gapura
Ikan Bakar Cianjur,Mo-Su 09:00-21:00,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60256,id,Dukuh Pakis,Jalan Mayjend Sungkono
PONDOK ALEXIS,,restaurant,Surabaya,Indonesia,SiwalanKerto,Jawa Timur,RW 06,60117,id,Siwalankerto,Gang K. Seger
Depot Soto Madura Gubeng Pojok Asli,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 03,60272,id,Ketabang,Jalan Kusuma Bangsa
Boulevard,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 08,60185,id,Pradahkali Kendal,Jalan Bukit Darmo Boulevard
Depot Grace,,restaurant,Surabaya,Indonesia,Ploso,Jawa Timur,RW 07,60133,id,Ploso,Jalan Karang Empat Besar
Pizza Time,Mo-Su 10:30-23:00,restaurant,Surabaya,Indonesia,Kedungdoro,Jawa Timur,RW 01,60262,id,,Jalan Tegalsari
Carpentier Kitchen,,restaurant,Surabaya,Indonesia,Dr. Sutomo,Jawa Timur,RW 14,60265,id,Dr. Sutomo,Jalan Untung Suropati
Kepiting Cak Gundul 1992,,restaurant,Surabaya,Indonesia,Dukuh Kupang,Jawa Timur,RW 04,67156,id,Dukuh Kupang,Jalan Raya Kupang Indah
Libreria Eatery,,restaurant,Surabaya,Indonesia,Pucang Sewu,Jawa Timur,RW 01,60246,id,Pucang Sewu,Jalan Ngagel Jaya
Meat shop,Mo-Su 09:00-22:00,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 06,60225,id,Pradahkali Kendal,Jalan Darmo Permai Selatan
Depot Bali,,restaurant,Surabaya,Indonesia,Peneleh,Jawa Timur,RW 05,60274,id,Peneleh,Jalan Makam Peneleh
De Mandailing,,restaurant,Surabaya,Indonesia,Klampis Ngasem,Jawa Timur,RW 02,60117,id,Klampis Ngasem,Jalan Klampis Jaya
Muttonbird Bistro & Rooftop,,restaurant,Surabaya,Indonesia,Kedung Baruk,Jawa Timur,RW 05,60117,id,Kedung Baruk,Jalan Dr. Ir. H. Soekarno
Bakso Pak Sabar,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 02,60281,id,Gubeng,Jalan Gubeng Jaya
,,restaurant,Surabaya,Indonesia,Jemur Wonosari,Jawa Timur,RW 08,60237,id,Jemur Wonosari,Jalan Jemursari
Aiola Eatery,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 04,60272,id,Ketabang,Jalan Slamet
RM.Singgalang Jaya,,restaurant,,Indonesia,,Jawa Timur,,61253,id,Banjar Kemuning,Jl. Tambak Cemandi
Rawon Calculator,,restaurant,Surabaya,Indonesia,Darmo,Jawa Timur,RW 03,60241,id,,Jalan Serayu
Warung Joglo,,restaurant,Surabaya,Indonesia,Wonokromo,Jawa Timur,RW 01,60231,id,Wonokromo,Jalan Ketintang
Rujak Cingur Genteng Durasim,,restaurant,Surabaya,Indonesia,Genteng,Jawa Timur,RW 10,60275,id,Genteng,Jalan Genteng Durasim
Hot-star,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Rawon Setan,,restaurant,Surabaya,Indonesia,Genteng,Jawa Timur,RW 03,60275,id,Genteng,Jalan Embong Malang
Shanghai bowl,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Soto Madura Wawan,,restaurant,Surabaya,Indonesia,Pakis,Jawa Timur,RW 01,60256,id,Pakis,Jalan Mayjend Sungkono
Beautika Restoran Khas Manado,Mo-Su 09:00-21:00,restaurant,Surabaya,Indonesia,Kedungdoro,Jawa Timur,RW 01,60261,id,Kedungdoro,Jalan Tegalsari
Kaldu segara,Mo-Su 10:00-21:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Hong Kong garden,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Anda fit,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 06,60275,id,,Jalan Yos Sudarso
Pirates café,Tu-Su 10:00-19:00,restaurant,Surabaya,Indonesia,Made,Jawa Timur,RW 03,60185,id,Made,Jalan Citraraya Utama
Beatus,Tu-Su 18:00-23:00,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 11,60185,id,Pradahkali Kendal,Jalan Kondominium Graha Famili
Yôkosa,"Tu-Su 11:00-15:00, 17:00-22:00",restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan Niagara Gapura
Magal,Mo-Su 11:30-22:00,restaurant,Surabaya,Indonesia,Lidah Wetan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Lidah Wetan,Jalan Lingkar Dalam Barat
Jiraiya Ramen,17:00-22:00,restaurant,Surabaya,Indonesia,Airlangga,Jawa Timur,RW 08,60281,id,Airlangga,Jalan Karang Menjangan
Lamongan Indah,16:00-23:00,restaurant,Surabaya,Indonesia,Airlangga,Jawa Timur,RW 08,60281,id,Airlangga,Jalan Karang Menjangan
Myoung Ga,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Putat Gede,Jawa Timur,RW 01,60225,id,Putat Gede,Jalan HR. Muhammad
RM  PADIN  Aneka Penyetan (Bu. Dewi Achmad),,restaurant,Surabaya,Indonesia,Bubutan,Jawa Timur,RW 08,60174,id,,Jalan Kranggan
Bangi Kopitiam,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 05,60272,id,,Jalan Walikota Mustajab
Depot Tiara,Tu-Su 10:00-21:00,restaurant,,Indonesia,,Jawa Timur,,60271,id,,Taman Tiara Regency
United steak,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Happy garden,,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Bakmi Plengkung Gading,,restaurant,Surabaya,Indonesia,Sawahan,Jawa Timur,RW 06,60252,id,Sawahan,Jalan Raya Arjuna
Tutto Bono,Mo-Su 11:00-23:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Bubur Ayam Citra,,restaurant,,Indonesia,,Jawa Timur,,61254,id,Waru,Jalan Jenderal S Parman 5
Myoung Dong,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 13,60185,id,,Jalan Niagara Gapura
Tekka,,restaurant,Surabaya,Indonesia,Putat Gede,Jawa Timur,RW 01,60225,id,Putat Gede,Jalan HR. Muhammad
Pondok Tempo Doeloe,,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60256,id,Dukuh Pakis,Jalan Mayjend Sungkono
Depot Mak Ay,,restaurant,Surabaya,Indonesia,Sono Kwijenan,Jawa Timur,RW 06,60189,id,Sono Kwijenan,Jalan Kupang Jaya
CALORIA RESTO,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 04,60115,id,,Jalan Raya Dharma Husada Indah
Bakso Kotak Cak Rie,,restaurant,Surabaya,Indonesia,Jemur Wonosari,Jawa Timur,RW 05,60237,id,,Jalan Wonocolo Pabrik Kulit
AIE DOHO,,restaurant,Surabaya,Indonesia,Keputran,Jawa Timur,RW 06,60265,id,Keputran,Jalam Dhoho
Kayu,Mo-Su 11:30-22:00,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60189,id,Dukuh Pakis,Jalan Mayjend Sungkono
Seafood Kapasan (Simo Lawang Baru Pojok),,restaurant,Surabaya,Indonesia,Kapasan,Jawa Timur,RW 05,60141,id,Kapasan,Jalan Kapasan
Warung Penyetan Bu Kris,Mo-Su 10:00-22:00,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 01,60225,id,Dukuh Pakis,Jalan KH Abdul Wahab Siamin
Bakso Kepala Sapi,,restaurant,Surabaya,Indonesia,Bubutan,Jawa Timur,RW 08,60252,id,,Jalan Kranggan
Bakso Solo,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 02,60286,id,Gubeng,Jalan Gubeng Jaya I
Soto Daging Marmoyo,,restaurant,Surabaya,Indonesia,Darmo,Jawa Timur,RW 04,60241,id,,Jalan Marmoyo
Yoyogi,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Sederhana,Mo-Su 08:00-23:00,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 13,60185,id,,Jalan Niagara Gapura
Oba,"Mo-Fr 12:00-21:00; Sa, Su 11:00-22:00",restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Sushi tei,Mo-Su 10:00-22:00,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Pradahkali Kendal,Jalan Puncak Indah Lontar Barat
Daun Lada,,restaurant,Surabaya,Indonesia,Dukuh Kupang,Jawa Timur,RW 04,60225,id,Dukuh Kupang,Jalan Raya Kupang Indah
Primarasa Restaurant,,restaurant,Surabaya,Indonesia,Manyar Sabrangan,Jawa Timur,RW 06,60231,id,Manyar Sabrangan,Jalan Manyar Kertoajo
alfamart,,restaurant,Surabaya,Indonesia,Krembangan Selatan,Jawa Timur,RW 09,60174,id,,Jalan Bubutan
Rujak Cingur Ahmad Jais,,restaurant,Surabaya,Indonesia,Peneleh,Jawa Timur,RW 02,60274,id,Peneleh,Jalan Achmad Jais
Six and Eat,,restaurant,Surabaya,Indonesia,Pacar Keling,Jawa Timur,RW 11,60131,id,Pacar Keling,Jalan Prmabanan
"Yong's","Mo, We-Su 08:00-21:00",restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Hok Siong,,restaurant,Surabaya,Indonesia,Sawahan,Jawa Timur,RW 07,60251,id,Sawahan,Jalan Tidar
Warung Lesehan PANDAN SARI,,restaurant,Surabaya,Indonesia,Kandangan,Jawa Timur,RW 08,60195,id,Kandangan,Jalan Raya Kandangan
Makan Rumahan,,restaurant,Surabaya,Indonesia,Menur Pumpungan,Jawa Timur,RW 08,60116,id,Menur Pumpungan,Jalan Manyar Jaya V
Nur Pacific,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 04,60281,id,Gubeng,Jalan Gubeng
Magal,,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60256,id,Dukuh Pakis,Jalan Mayjend Sungkono
Take five,,restaurant,Surabaya,Indonesia,Dr. Sutomo,Jawa Timur,RW 10,60265,id,Dr. Sutomo,Jalan Ronggolawe
Dewa ~ndaru,,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60256,id,Dukuh Pakis,Jalan Mayjend Sungkono
Hakka,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Rosebay,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,RW 11,60223,id,Babatan,Jalan Bintang Graha Famili I
Depot Sari Sop Buntut,,restaurant,Surabaya,Indonesia,Bongkaran,Jawa Timur,RW 01,60175,id,Bongkaran,Jalan Kalimalang
Curry house,"Mo-Th, Su 10:00-21:00; Fr, Sa 10:00-22:00",restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 08,60185,id,Pradahkali Kendal,Jalan Simpang Darmo Permai Selatan I
KACANG IJO PUCANG ANOM  PASAR PUCANG,,restaurant,Surabaya,Indonesia,Pucang Sewu,Jawa Timur,RW 08,60283,id,Pucang Sewu,Jalan Pucang Anom V
Brassery,Mo-Su 08:00-01:00,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 04,60281,id,Gubeng,Jalan Gubeng
Jenggala,,restaurant,Surabaya,Indonesia,Putat Gede,Jawa Timur,RW 01,60225,id,Putat Gede,Jalan HR. Muhammad
Lontong balap,,restaurant,Surabaya,Indonesia,Krembangan Utara,Jawa Timur,RW 10,60261,id,,Jalan Kebalen Timur
Gao Ji Shao Kao,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
The Piggy,Mo-Su 16:00-22:30,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Grand Ocean,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 01,60241,id,Pradahkali Kendal,Jalan Pradah Kali Kendal I Gang I
Burg & Burp,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Capital,Mo-Su 10:00-02:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Corea,Tu-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan Puri Widya Kencana
"Sam's kitchen",,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Soto Podjok,Mo-Su 07:00-21:00,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan bukit telaga golf
Palimanan,Tu-Su 05:00-22:00,restaurant,Surabaya,Indonesia,Lakarsantri,Jawa Timur,RW 04,60185,id,Lakarsantri,Jalan Citraraya Utama
Depot AT 29,,restaurant,Surabaya,Indonesia,Tenggilis Mejoyo,Jawa Timur,RW 01,60293,id,Tenggilis Mejoyo,Jalan Tenggilis Mejoyo
"D' Cost",Mo-Su 11:00-21:00,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 11,60185,id,Pradahkali Kendal,Jalan Kondominium Graha Famili
Kuningan Resturant,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 04,60281,id,Gubeng,Jalan Biliton
Sego Sambel Mak Yeye,,restaurant,Surabaya,Indonesia,Jagir,Jawa Timur,RW 06,60244,id,Jagir,Jalan Jagir Wonokromo Wetan
Tahu Telor Pak Jayen,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 04,60115,id,,Jalan Raya Dharma Husada Indah
Kapok Lombok,Mo-Su 10:00-23:00,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 13,60185,id,,Jalan Niagara Gapura
Soto Daging Tapaksiring,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 03,60281,id,Mojo,Jalan Kedung Pengkol III
Goodies pizza,Mo-Su 11:30-22:00,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 13,60185,id,,Jalan Niagara Gapura
Mie Hokkien Rajake,,restaurant,Surabaya,Indonesia,Airlangga,Jawa Timur,RW 01,60281,id,Airlangga,Jalan Gubeng Masjid III
Sate Kambing & Gulai Keputih,,restaurant,Surabaya,Indonesia,Keputih,Jawa Timur,RW 03,60111,id,Keputih,Keputih Gang IB
Chinese food,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Ming Yang,Mo-Su 11:30-22:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Gojumong,Mo-Su 11:30-22:30,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 08,60185,id,Pradahkali Kendal,Jalan Bukit Darmo Boulevard
IBC Pondok Tempo Doeloe,,restaurant,,Indonesia,,Jawa Timur,,61254,id,Sedati Agung,Jalan Ir. H. Juanda
Ayam Tulang Lunak Malioboro,,restaurant,Surabaya,Indonesia,Dr. Sutomo,Jawa Timur,RW 08,60261,id,Dr. Sutomo,Jalan Teuku Umar
Bebek sinjay,,restaurant,Surabaya,Indonesia,Sawahan,Jawa Timur,RW 10,60275,id,Sawahan,Jalan Tidar
Finjan,,restaurant,Surabaya,Indonesia,Nyamplungan,Jawa Timur,RW 06,60261,id,Nyamplungan,Jalan KH Mas Mansyur
Soto wawan,,restaurant,Surabaya,Indonesia,Dr. Sutomo,Jawa Timur,RW 14,60265,id,,Jalan Diponegoro
Gyu-Kaku,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Pradahkali Kendal,Jalan Puncak Indah Lontar Barat
Thaï street,,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 01,60185,id,Lontar,Jalan Raya Lontar PLN
Supreso,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Cailano,,restaurant,Surabaya,Indonesia,Klampis Ngasem,Jawa Timur,RW 02,60115,id,Klampis Ngasem,Jalan Klampis Jaya
Nyah tewel,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Sambikerep,Jawa Timur,RW 13,60185,id,Sambikerep,Jalan Taman Gapura Barat
Ayam Bakar Wong Solo,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 05,60272,id,,Jalan Walikota Mustajab
SAS Cafe & Resto,,restaurant,Surabaya,Indonesia,Kalisari,Jawa Timur,RW 03,60112,id,,Jalan Bhaskara Sawah
Bakmi GM,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Soto Madura Tapak Siring,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 03,60285,id,Mojo,Jalan Profesor Doktor Moestopo
Society Complex,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 04,60281,id,Gubeng,Jalan Sumatera
Gangnam,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Host,,restaurant,Surabaya,Indonesia,Lidah Wetan,Jawa Timur,RW 05,60223,id,Lidah Wetan,Jalan Lidah Harapan XVIII
Ming garden,,restaurant,Surabaya,Indonesia,Putat Gede,Jawa Timur,RW 01,60225,id,Putat Gede,Jalan HR. Muhammad
Es Teller Tanjung Anom,,restaurant,Surabaya,Indonesia,Genteng,Jawa Timur,RW 01,60275,id,Genteng,Jalan Tanjung Anom
Moi village,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,RW 09,60185,id,Babatan,Jalan Puncak Lontar I
Larris,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 08,60185,id,Pradahkali Kendal,Jalan Raya Darmo Permai Selatan
Sambel Bu Rudy,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 06,60285,id,Mojo,Jalan Profesor Doktor Moestopo
Hanamasa,,restaurant,Surabaya,Indonesia,Pacar Keling,Jawa Timur,RW 07,60272,id,Pacar Keling,Jalan Gubeng Pojok
Sate Klopo Ondomohen,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 05,60272,id,,Jalan Walikota Mustajab
Pak Rudy,,restaurant,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 04,60256,id,Dukuh Pakis,Jalan Mayjend Sungkono
Bebek Tugu Pahlawan,,restaurant,Surabaya,Indonesia,Alon-Alon Contong,Jawa Timur,RW 08,60174,id,,Jalan Tembaan
Bakso solo,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Chuan wei,Mo-Su 16:00-00:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Brother Union Eatery,,restaurant,Surabaya,Indonesia,Keputran,Jawa Timur,RW 06,60261,id,Keputran,Jalan M. Jasin (Polisi Istimewa)
Mie Ayam H&W,,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Boncafe Steak & Ice Cream,Mo-Su 09:00-22:00,restaurant,Surabaya,Indonesia,Tegalsari,Jawa Timur,RW 02,60262,id,Tegalsari,Jalan Pregolan
Kartikasari Pujasera,,restaurant,Surabaya,Indonesia,Mojo,Jawa Timur,RW 11,60116,id,Mojo,Jalan Manyar Kertoarjo V
Soto Ayam Lamongan Cak Har,,restaurant,Surabaya,Indonesia,Semolowaru,Jawa Timur,RW 09,60119,id,Semolowaru,Jalan Klampis Semolo Timur III
Loempia 23,,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 10,60185,id,Lontar,Jalan Simpang Darmo Permai Selatan
Mie Setan,,restaurant,Surabaya,Indonesia,Ngagel,Jawa Timur,RW 03,60281,id,,Jalan Nias
Beatus,Tu-Su 18:00-23:00,restaurant,Surabaya,Indonesia,Lakarsantri,Jawa Timur,RW 04,60185,id,Lakarsantri,Jalan Bukit Golf Utama
Ayam Goreng Asli Pemuda,,restaurant,Surabaya,Indonesia,Sawahan,Jawa Timur,RW 07,60251,id,Sawahan,Jalan Tidar
Banana Bil-Bil Food,,restaurant,Surabaya,Indonesia,Sambikerep,Jawa Timur,RW 03,60217,id,Sambikerep,Jalan Raya Bungkal
Taste code,"Mo-Fr, Su 16:00-23:55; Sa 16:00-01:00",restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Kober Mie Setan,,restaurant,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 03,60272,id,Ketabang,Jalan Kaca Piring
Holycow! Steakhouse by Chef Afit,Mo-Su 11:00-22:00,restaurant,Surabaya,Indonesia,Tegalsari,Jawa Timur,RW 02,60262,id,Tegalsari,Jalan Pregolan
Platinum grill,Tu-Su 18:00-23:00,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60225,id,Pradahkali Kendal,Jalan Raya Golf Graha Famili
Domicile Kitchen & Lounge,,restaurant,Surabaya,Indonesia,Gubeng,Jawa Timur,RW 04,60281,id,Gubeng,Jalan Sumatera
Ayam Bakar Primarasa,,restaurant,Surabaya,Indonesia,Gayungan,Jawa Timur,RW 02,60235,id,,Jalan A Yani Frontage Barat
Donburi Be Happy,,restaurant,Surabaya,Indonesia,Banjar Sugihan,Jawa Timur,RW 04,60186,id,Banjar Sugihan,Jalan Marrgomulyo Indah
Special Nasi Udang Khas Bu Rudi,,restaurant,Surabaya,Indonesia,Dukuh Kupang,Jawa Timur,RW 04,60225,id,Dukuh Kupang,Jalan Raya Kupang Indah
Depot Mangga,,restaurant,Surabaya,Indonesia,Panjang Jiwo,Jawa Timur,RW 08,60299,id,Panjang Jiwo,Jalan Prapen Indah Timur VI
May Star,Mo-Sa 10:00-22:00; Su 08:00-22:00,restaurant,Surabaya,Indonesia,Lidah Wetan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Lidah Wetan,Jalan Lingkar Dalam Barat
Nasi Bebek Kanwa,,restaurant,Surabaya,Indonesia,Darmo,Jawa Timur,RW 09,60241,id,Darmo,Jalan Kanwa
T4,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Sahara,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Hao,,restaurant,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Graha Famili Barat 1
Warung ayam betutu,,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Frangipani,Mo-Su 11:00-23:00,restaurant,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
"What's cook n'",,restaurant,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan Niagara Gapura
Sentra Kuliner Taman Flora,,restaurant,Surabaya,Indonesia,Baratajaya,Jawa Timur,RW 08,60284,id,Baratajaya,Jalan Ngagel Jaya Selatan
DS Bistro,Mo-Su 10:00-23:00,restaurant,Surabaya,Indonesia,Lontar,Jawa Timur,RW 13,60185,id,,Jalan Niagara Gapura
Bamegah,,restaurant,Surabaya,Indonesia,Pakis,Jawa Timur,RW 01,60256,id,Pakis,Jalan Mayjend Sungkono
